timestamp,cpu_usage,memory_usage,response_time,error_rate,request_count,anomaly_flag,cpu_memory_ratio,error_per_request,response_per_request,hour,day_of_week,is_weekend,is_business_hour
2025-04-01 00:00:00,31.4901424590337,52.177539308433346,193.1346124684623,0.3630536225343942,561,0.0,0.6035191171605138,0.06471544073696867,0.344268471423284,0,1,0,0
2025-04-01 00:05:00,29.912430372004863,49.46554740049562,212.72450480336357,0.683027053889542,543,0.0,0.6047124098277977,0.125787671066214,0.3917578357336346,0,1,0,0
2025-04-01 00:10:00,32.59735642478212,50.47383197313456,212.86889258220972,0.4356588239691953,543,0.0,0.6458268601863346,0.08023182761863634,0.3920237432453218,0,1,0,0
2025-04-01 00:15:00,35.55013650767622,48.310722597666306,190.4101593963422,0.4972542815886985,503,0.0,0.7358643091253101,0.09885771005739534,0.37854902464481555,0,1,0,0
2025-04-01 00:20:00,30.604876017044866,54.26300318309831,193.47367478065445,0.559208048933338,524,0.0,0.5640099924763764,0.10671909330788892,0.36922457019208865,0,1,0,0
2025-04-01 00:25:00,30.930592251931927,54.88324613806587,231.04837333615507,0.47612506720548,482,0.0,0.5635707511564101,0.09878113427499585,0.479353471651774,0,1,0,0
2025-04-01 00:30:00,36.69553132982295,51.61864937869356,224.03556903027402,0.5534984537731459,541,0.0,0.7108967741602636,0.10231025023533195,0.41411380597093167,0,1,0,0
2025-04-01 00:35:00,34.584154980307474,53.56829515026986,207.2909841762148,0.6031726883089875,538,0.0,0.6456086549570403,0.11211388258531367,0.3852992270933361,0,1,0,0
2025-04-01 00:40:00,31.1962995071991,52.08705533453715,211.25613994752,0.6481557765504277,535,0.0,0.5989261498242904,0.12115061243933228,0.39487128962153273,0,1,0,0
2025-04-01 00:45:00,34.55403496099982,49.27745234240942,203.44605207133455,0.6376768402021342,569,0.0,0.701213908562025,0.1120697434450148,0.3575501793872312,0,1,0,0
2025-04-01 00:50:00,31.85634113063416,51.340749401453714,215.14550783890854,0.5477508378011634,507,0.0,0.6204884327171927,0.10803764059194544,0.42435011408068746,0,1,0,0
2025-04-01 00:55:00,32.16809912418183,52.640714856805644,204.71247560908395,0.5566425902934917,596,0.0,0.6110878093446518,0.09339640776736438,0.3434773080689328,0,1,0,0
2025-04-01 01:00:00,34.60817249123591,51.679095013538316,192.6174146121422,0.8125565693332595,578,0.0,0.6696745073064776,0.14058072133793417,0.333248122166336,1,1,0,0
2025-04-01 01:05:00,28.457594476491487,52.360983585439854,200.7758928364391,0.6789376110342269,553,0.0,0.5434885391344092,0.12277352821595423,0.36306671398994417,1,1,0,0
2025-04-01 01:10:00,29.335833495025,52.8242588800245,215.24621745371954,0.4980293742192606,555,0.0,0.5553477534186163,0.08973502238184876,0.3878310224391343,1,1,0,0
2025-04-01 01:15:00,33.1347293918245,53.05263765730069,204.7613009101322,0.6064306559675037,578,0.0,0.6245632800740635,0.10491879861029475,0.3542583060728931,1,1,0,0
2025-04-01 01:20:00,32.091808788881764,53.52471841425165,216.4282325171481,0.5690917291198814,614,0.0,0.5995698761179639,0.09268594936805885,0.3524889780409578,1,1,0,0
2025-04-01 01:25:00,36.37931257204135,51.503170250043816,207.37529151985646,0.5951979880927994,575,0.0,0.7063509371446974,0.10351269358135642,0.3606526809040982,1,1,0,0
2025-04-01 01:30:00,33.016179258912715,52.39280202539503,211.31063239323456,0.49185551393871807,580,0.0,0.6301663202305848,0.08480267481702035,0.36432867654005957,1,1,0,0
2025-04-01 01:35:00,31.804289243875186,51.45829836718743,228.6689875570688,0.5796316835190258,581,0.0,0.6180594822030746,0.09976448941807674,0.3935782918366072,1,1,0,0
2025-04-01 01:40:00,40.736220232875155,56.181813716779395,223.60571856343603,0.8079410558416011,637,0.0,0.7250784112850521,0.12683533058737853,0.3510293854998996,1,1,0,0
2025-04-01 01:45:00,35.95700145182541,50.21159301850937,222.01779029781662,0.6905942371532506,577,0.0,0.7161095533967758,0.11968704283418556,0.3847795325785383,1,1,0,0
2025-04-01 01:50:00,37.12881381258928,56.924666818984186,231.8770703924582,0.38940844315536416,591,0.0,0.6522447277672417,0.06588975349498548,0.39234698881972624,1,1,0,0
